,State,District,No of wells monitored,Minimum,Maximum,0 to 2,in %,2 to 5,in %,5 to 10,in %,10 to 20,in %,20 to 40,in %,> 40,in %
0,Tamil Nadu,Ariyalur,3,4.15,10.94,0,0%,1,33%,0,0%,2,67%,0,0%,0,0%
1,Tamil Nadu,Chennai,11,3.47,9.00,0,0%,4,36%,7,64%,0,0%,0,0%,0,0%
2,Tamil Nadu,Coimbatore,32,0.95,47.42,2,6%,3,9%,9,28%,11,34%,5,16%,2,6%
3,Tamil Nadu,Cuddalore,22,2.51,103.40,0,0%,3,14%,9,41%,3,14%,2,9%,5,23%
4,Tamil Nadu,Dharmapuri,11,3.37,21.50,0,0%,1,9%,2,18%,7,64%,1,9%,0,0%
5,Tamil Nadu,Dindigul,30,0.84,39.40,1,3%,5,17%,8,27%,11,37%,5,17%,0,0%
6,Tamil Nadu,Erode,54,1.54,21.38,1,2%,9,17%,28,52%,13,24%,3,6%,0,0%
7,Tamil Nadu,Kancheepuram,23,3.80,11.75,0,0%,6,26%,12,52%,5,22%,0,0%,0,0%
8,Tamil Nadu,Kanyakumari,19,1.70,15.29,1,5%,4,21%,6,32%,8,42%,0,0%,0,0%
9,Tamil Nadu,Karur,9,1.62,54.40,1,11%,1,11%,3,33%,3,33%,0,0%,1,11%
10,Tamil Nadu,Krishnagiri,16,3.73,42.22,0,0%,2,13%,4,25%,7,44%,2,13%,1,6%
11,Tamil Nadu,Madurai,10,5.60,18.75,0,0%,0,0%,7,70%,3,30%,0,0%,0,0%
12,Tamil Nadu,Nagapattinam,7,2.26,4.66,0,0%,7,100%,0,0%,0,0%,0,0%,0,0%
13,Tamil Nadu,Namakkal,22,2.42,32.57,0,0%,3,14%,7,32%,10,45%,2,9%,0,0%
14,Tamil Nadu,Nilgiris,9,0.60,19.40,3,33%,2,22%,3,33%,1,11%,0,0%,0,0%
15,Tamil Nadu,Perambalur,10,7.55,17.90,0,0%,0,0%,7,70%,3,30%,0,0%,0,0%
16,Tamil Nadu,Pudukkottai,29,1.95,17.41,2,7%,5,17%,15,52%,7,24%,0,0%,0,0%
17,Tamil Nadu,Ramanathapuram,25,1.71,37.10,2,8%,9,36%,11,44%,1,4%,2,8%,0,0%
18,Tamil Nadu,Salem,22,3.68,34.52,0,0%,2,9%,6,27%,10,45%,4,18%,0,0%
19,Tamil Nadu,Sivaganga,19,1.88,16.02,1,5%,1,5%,7,37%,10,53%,0,0%,0,0%
20,Tamil Nadu,Thanjavur,14,3.40,10.97,0,0%,4,29%,8,57%,2,14%,0,0%,0,0%
21,Tamil Nadu,Theni,10,5.30,28.85,0,0%,0,0%,4,40%,5,50%,1,10%,0,0%
22,Tamil Nadu,Thiruvannamalai,17,4.63,17.60,0,0%,1,6%,11,65%,5,29%,0,0%,0,0%
23,Tamil Nadu,Tiruchirappalli,25,1.34,27.22,1,4%,5,20%,10,40%,7,28%,2,8%,0,0%
24,Tamil Nadu,Tirunelveli,41,1.07,22.37,5,12%,10,24%,15,37%,10,24%,1,2%,0,0%
25,Tamil Nadu,Tiruppur,18,1.18,17.86,2,11%,7,39%,4,22%,5,28%,0,0%,0,0%
26,Tamil Nadu,Tiruvallur,19,1.49,11.25,1,5%,5,26%,10,53%,3,16%,0,0%,0,0%
27,Tamil Nadu,Tiruvarur,8,3.20,7.66,0,0%,4,50%,4,50%,0,0%,0,0%,0,0%
28,Tamil Nadu,Tuticorin,25,1.80,11.10,1,4%,7,28%,15,60%,2,8%,0,0%,0,0%
29,Tamil Nadu,Vellore,29,1.51,29.41,2,7%,4,14%,10,34%,11,38%,2,7%,0,0%
30,Tamil Nadu,Villupuram,28,3.08,16.85,0,0%,2,7%,18,64%,8,29%,0,0%,0,0%
31,Tamil Nadu,Virudhunagar,13,3.25,17.25,0,0%,2,15%,7,54%,4,31%,0,0%,0,0%
32,Tamil Nadu Total,630,0.60,103.40,26,0,119,0,267,0,177,0,32,0,9,0,0
